
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
00:A0:57:3B:59:0E, 2020-12-29 15:38:59, 2020-12-29 16:17:20,  1, 195, WPA2, CCMP, PSK, -57,     1255,      571,   0.  0.  0.  0,   6, LANCOM, 
38:EA:A7:C8:D8:97, 2020-12-29 15:38:59, 2020-12-29 16:17:20,  1,  58, OPN, ,   , -69,      504,        0,   0.  0.  0.  0,  27, HP-Print-97-Photosmart 5520, 
00:0E:58:12:1C:5B, 2020-12-29 15:39:29, 2020-12-29 16:11:39,  6,  -1, WPA, ,   ,  -1,        0,      101,   0.  0.  0.  0,   0, , 
78:28:CA:C3:F7:17, 2020-12-29 15:43:23, 2020-12-29 15:43:23,  6,  -1, WPA, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
78:28:CA:C3:F6:E7, 2020-12-29 15:43:23, 2020-12-29 15:43:23,  6,  -1, WPA, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
00:A0:57:35:AA:F6, 2020-12-29 15:45:31, 2020-12-29 16:09:35, 44, 270, WPA2, CCMP, PSK, -65,       21,        8,   0.  0.  0.  0,   6, LANCOM, 
00:A0:57:39:90:AB, 2020-12-29 15:45:31, 2020-12-29 16:09:35, 36, 1560, WPA2, CCMP, PSK, -64,       23,        4,   0.  0.  0.  0,   6, LANCOM, 
02:A0:57:38:74:36, 2020-12-29 15:45:31, 2020-12-29 16:09:35, 44, 270, WPA2, CCMP, PSK, -52,       19,       12,   0.  0.  0.  0,   6, LANCOM, 
00:A0:57:38:74:36, 2020-12-29 15:45:31, 2020-12-29 16:09:35, 44, 270, WPA2, CCMP, PSK, -51,       19,        0,   0.  0.  0.  0,   1, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
20:DF:B9:7E:8D:D9, 2020-12-29 15:39:18, 2020-12-29 16:16:43, -59,      458, 00:A0:57:35:AA:F6,LANCOM
7A:75:D8:04:08:35, 2020-12-29 16:16:29, 2020-12-29 16:16:29, -63,        1, (not associated) ,
16:3F:68:0C:56:B4, 2020-12-29 16:16:29, 2020-12-29 16:16:29, -66,        1, (not associated) ,fo2-Hotspot
9E:61:CF:59:FE:02, 2020-12-29 16:16:29, 2020-12-29 16:16:29, -70,        1, (not associated) ,fo2-Hotspot
B8:27:EB:B9:E4:8B, 2020-12-29 15:41:22, 2020-12-29 16:16:20, -33,       21, 02:A0:57:38:74:36,
00:1B:EA:F2:DD:9F, 2020-12-29 15:41:17, 2020-12-29 16:11:46, -60,      748, (not associated) ,LANCOM
78:28:CA:C3:F7:17, 2020-12-29 15:39:01, 2020-12-29 16:11:26, -47,      558, 00:0E:58:12:1C:5B,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
80:C5:F2:C5:67:CD, 2020-12-29 15:40:17, 2020-12-29 16:11:24, -51,        8, 00:A0:57:3B:59:0E,
A6:0E:57:DC:02:04, 2020-12-29 16:02:03, 2020-12-29 16:06:26,  -1,      110, 00:A0:57:3B:59:0E,
D8:00:4D:EC:23:2C, 2020-12-29 15:45:57, 2020-12-29 16:05:47, -63,       11, 00:A0:57:3B:59:0E,LANCOM
5C:AA:FD:0A:00:63, 2020-12-29 15:39:57, 2020-12-29 16:05:48, -64,       10, (not associated) ,Sonos_Vl4C7VFZhquCANjpxci5tmHI8T
48:C7:F3:66:60:70, 2020-12-29 16:03:16, 2020-12-29 16:03:16, -69,        2, (not associated) ,
62:8B:1F:18:16:0A, 2020-12-29 15:57:35, 2020-12-29 15:57:35, -45,        2, (not associated) ,
