
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
1C:5B:78:28:CA:C3, 2020-12-16 16:42:06, 2020-12-16 16:42:06, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,  32, 6w..-.8\xC98.\xF3.g^\xEA.\,B1\xAB.\xFD\xA6}\xAD=\xDC/lk\xA9., 
75:2A:00:A0:57:3B, 2020-12-16 16:21:53, 2020-12-16 16:21:53, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
DD:9F:FF:FF:FF:FF, 2020-12-16 16:48:31, 2020-12-16 16:48:31, -1,  -1, OPN, ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:A0:57:3B:59:0E, 2020-12-16 16:19:15, 2020-12-16 17:09:28,  1,  63, WPA2, CCMP, PSK, -65,     1957,      854,   0.  0.  0.  0,   6, LANCOM, 
00:0E:58:12:1C:5B, 2020-12-16 16:19:35, 2020-12-16 17:09:21,  6,  -1, WPA, ,   ,  -1,        0,      247,   0.  0.  0.  0,   0, , 
00:25:00:FF:94:73, 2020-12-16 16:19:15, 2020-12-16 17:09:20,  1,  -1, OPN, ,   ,  -1,        0,      108,   0.  0.  0.  0,   0, , 
78:28:CA:C3:F7:17, 2020-12-16 16:19:16, 2020-12-16 17:09:29,  6,  -1, WPA, ,   ,  -1,        0,    36345,   0.  0.  0.  0,   0, , 
78:28:CA:C3:F6:E7, 2020-12-16 16:19:17, 2020-12-16 17:09:29,  6,  -1, WPA, ,   ,  -1,        0,      940,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
CE:83:69:D9:BC:32, 2020-12-16 17:07:58, 2020-12-16 17:07:58, -64,        1, (not associated) ,SONOS
2E:5D:07:52:EB:12, 2020-12-16 17:07:58, 2020-12-16 17:07:58, -65,        1, (not associated) ,
34:E2:FD:90:5B:2F, 2020-12-16 16:22:49, 2020-12-16 17:07:57, -85,       95, 00:A0:57:3B:59:0E,LANCOM
00:5B:94:AA:5E:18, 2020-12-16 16:20:18, 2020-12-16 17:07:23, -89,       50, (not associated) ,LANCOM
D8:00:4D:EC:23:2C, 2020-12-16 16:25:37, 2020-12-16 17:00:35,   0,       48, 00:A0:57:3B:59:0E,LANCOM
66:3A:EC:E7:DE:31, 2020-12-16 16:58:47, 2020-12-16 16:58:47, -81,        1, (not associated) ,
02:68:3D:86:62:91, 2020-12-16 16:50:23, 2020-12-16 16:50:23, -82,        3, (not associated) ,
0A:F3:AA:17:B8:AC, 2020-12-16 16:49:45, 2020-12-16 16:49:57, -88,        8, (not associated) ,
82:9E:48:A0:83:3B, 2020-12-16 16:43:50, 2020-12-16 16:43:50, -95,        2, (not associated) ,
D6:2F:BE:D1:67:67, 2020-12-16 16:43:01, 2020-12-16 16:43:01, -40,        1, (not associated) ,SONOS
2A:1C:F5:24:89:F8, 2020-12-16 16:43:00, 2020-12-16 16:43:00, -42,        1, (not associated) ,SONOS
F6:03:CA:DE:1C:4F, 2020-12-16 16:43:00, 2020-12-16 16:43:01, -43,        9, (not associated) ,
62:D4:98:9A:6A:12, 2020-12-16 16:43:00, 2020-12-16 16:43:01, -43,        3, (not associated) ,SONOS,fo2-Hotspot
