
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
00:25:00:FF:94:73, 2020-12-16 19:09:14, 2020-12-16 20:19:23,  1,  -1, OPN, ,   ,  -1,        0,      128,   0.  0.  0.  0,   0, , 
00:9D:6B:30:F9:E5, 2020-12-16 20:16:05, 2020-12-16 20:17:13,  6,  54, WPA2, CCMP, PSK, -92,        2,        0,   0.  0.  0.  0,  13, Audi_MMI_4918, 
F6:E7:FF:FF:FF:FF, 2020-12-16 19:15:37, 2020-12-16 19:24:48, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
DD:9F:FF:FF:FF:FF, 2020-12-16 19:25:25, 2020-12-16 19:38:20, -1,  -1, OPN, ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
1C:5B:78:28:CA:C3, 2020-12-16 19:43:16, 2020-12-16 20:18:06, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:A0:57:3B:59:0E, 2020-12-16 19:07:51, 2020-12-16 20:20:50,  1,  63, WPA2, CCMP, PSK, -60,     2880,     1517,   0.  0.  0.  0,   6, LANCOM, 
00:0E:58:12:1C:5B, 2020-12-16 19:07:56, 2020-12-16 20:20:51,  6,  -1, WPA, ,   ,  -1,        0,      472,   0.  0.  0.  0,   0, , 
78:28:CA:C3:F7:17, 2020-12-16 19:07:52, 2020-12-16 20:20:51,  6,  -1, WPA, ,   ,  -1,        0,    14351,   0.  0.  0.  0,   0, , 
78:28:CA:C3:F6:E7, 2020-12-16 19:07:53, 2020-12-16 20:20:51,  6,  -1, WPA, ,   ,  -1,        0,     1086,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
42:E1:E0:F0:F8:7C, 2020-12-16 20:19:34, 2020-12-16 20:19:34, -82,        1, (not associated) ,
A2:53:56:6A:F2:B6, 2020-12-16 19:09:14, 2020-12-16 20:19:23, -75,      688, 00:25:00:FF:94:73,
A6:2A:05:A8:89:8D, 2020-12-16 20:19:09, 2020-12-16 20:19:09, -90,        1, (not associated) ,
F7:17:00:0E:58:12, 2020-12-16 19:43:16, 2020-12-16 20:18:06, -65,        7, 1C:5B:78:28:CA:C3,
DC:9B:9C:0B:AD:09, 2020-12-16 19:08:14, 2020-12-16 20:18:08, -74,      144, 00:A0:57:3B:59:0E,LANCOM
D8:00:4D:EC:23:2C, 2020-12-16 19:16:47, 2020-12-16 20:16:19, -77,       30, 00:A0:57:3B:59:0E,LANCOM
2E:03:71:90:A0:9C, 2020-12-16 19:08:35, 2020-12-16 20:12:35, -88,       28, (not associated) ,LANCOM
2E:63:60:47:0E:2E, 2020-12-16 20:10:43, 2020-12-16 20:10:43, -34,        2, (not associated) ,fo2-Hotspot
AA:60:0D:AA:27:31, 2020-12-16 20:10:43, 2020-12-16 20:10:43, -37,        2, (not associated) ,fo2-Hotspot
B6:CA:37:EF:3C:80, 2020-12-16 20:10:43, 2020-12-16 20:10:43, -38,        2, (not associated) ,fo2-Hotspot
DA:DC:8E:AF:F8:93, 2020-12-16 20:10:43, 2020-12-16 20:10:43, -39,        2, (not associated) ,SONOS
A2:8B:D5:9C:95:4A, 2020-12-16 20:10:43, 2020-12-16 20:10:43, -39,       10, (not associated) ,SONOS
5A:E6:23:DB:F7:05, 2020-12-16 20:09:35, 2020-12-16 20:09:35, -85,        1, 00:25:00:FF:94:73,
64:70:33:E4:0E:94, 2020-12-16 19:12:18, 2020-12-16 20:06:22, -88,       79, (not associated) ,LANCOM
DE:66:FF:51:D6:74, 2020-12-16 20:04:07, 2020-12-16 20:04:07, -83,        2, (not associated) ,
36:F6:2D:97:C6:22, 2020-12-16 20:04:07, 2020-12-16 20:04:07, -87,        1, (not associated) ,SONOS
96:86:8B:A4:7D:63, 2020-12-16 20:04:07, 2020-12-16 20:04:07, -88,        1, (not associated) ,fo2-Hotspot
0C:63:5C:13:ED:4D, 2020-12-16 20:03:33, 2020-12-16 20:03:33, -88,        2, (not associated) ,
4A:B4:63:79:23:BA, 2020-12-16 20:00:23, 2020-12-16 20:00:23, -76,        1, (not associated) ,
22:01:00:0B:FF:D0, 2020-12-16 19:59:22, 2020-12-16 19:59:22, -81,        2, (not associated) ,
62:45:B5:01:E7:3D, 2020-12-16 19:28:24, 2020-12-16 19:59:07, -50,        2, (not associated) ,
3C:8D:B4:D2:E2:E1, 2020-12-16 19:57:56, 2020-12-16 19:57:56, -91,        2, (not associated) ,
F6:E7:00:0E:58:12, 2020-12-16 19:54:23, 2020-12-16 19:54:23, -68,        1, 1C:5B:78:28:CA:C3,
C6:E5:C8:D0:23:43, 2020-12-16 19:50:22, 2020-12-16 19:50:22, -85,        2, (not associated) ,
BE:22:1C:23:16:27, 2020-12-16 19:49:58, 2020-12-16 19:49:58, -91,        2, (not associated) ,
76:D1:CE:9E:A2:42, 2020-12-16 19:48:59, 2020-12-16 19:48:59, -37,        2, (not associated) ,SONOS
F2:91:05:7E:B9:78, 2020-12-16 19:48:59, 2020-12-16 19:48:59, -39,        2, (not associated) ,fo2-Hotspot
B2:97:26:6A:6D:57, 2020-12-16 19:48:58, 2020-12-16 19:48:58, -39,        2, (not associated) ,SONOS
AE:2C:07:FA:F3:A2, 2020-12-16 19:48:58, 2020-12-16 19:48:58, -39,        2, (not associated) ,fo2-Hotspot
B6:C2:D3:3A:9F:0C, 2020-12-16 19:48:59, 2020-12-16 19:48:59, -40,        2, (not associated) ,SONOS
12:A5:B4:28:7C:80, 2020-12-16 19:48:58, 2020-12-16 19:48:59, -40,        6, (not associated) ,SONOS,fo2-Hotspot
76:21:24:FD:CA:A6, 2020-12-16 19:48:59, 2020-12-16 19:48:59, -44,        3, (not associated) ,fo2-Hotspot
FA:3A:33:BB:45:1F, 2020-12-16 19:48:59, 2020-12-16 19:48:59, -44,        3, (not associated) ,SONOS
5A:00:99:8A:1D:0A, 2020-12-16 19:48:59, 2020-12-16 19:48:59, -44,        8, (not associated) ,
3E:F8:38:5D:7A:BC, 2020-12-16 19:48:58, 2020-12-16 19:48:58, -91,        3, (not associated) ,
D1:7A:84:32:26:0F, 2020-12-16 19:48:11, 2020-12-16 19:48:11, -70,        2, (not associated) ,
BA:05:4B:F0:81:64, 2020-12-16 19:41:59, 2020-12-16 19:41:59, -44,        2, (not associated) ,SONOS
4A:0A:97:97:3F:B0, 2020-12-16 19:41:58, 2020-12-16 19:41:58, -46,        2, (not associated) ,SONOS
CA:13:AB:B5:A3:5D, 2020-12-16 19:41:58, 2020-12-16 19:41:58, -46,        2, (not associated) ,fo2-Hotspot
C2:79:0A:B2:A7:5B, 2020-12-16 19:41:59, 2020-12-16 19:41:59, -47,        1, (not associated) ,SONOS
12:4C:EC:A2:40:4A, 2020-12-16 19:41:59, 2020-12-16 19:41:59, -47,        4, (not associated) ,SONOS,fo2-Hotspot
42:2F:16:9C:1D:F7, 2020-12-16 19:41:59, 2020-12-16 19:41:59, -47,        3, (not associated) ,fo2-Hotspot
8A:E5:A9:20:63:46, 2020-12-16 19:41:58, 2020-12-16 19:41:58, -47,        2, (not associated) ,
DA:7F:65:BC:84:6D, 2020-12-16 19:41:59, 2020-12-16 19:41:59, -48,        2, (not associated) ,SONOS
1A:AD:27:77:22:CF, 2020-12-16 19:41:59, 2020-12-16 19:41:59, -52,       11, (not associated) ,fo2-Hotspot
12:C9:DC:E7:9B:9B, 2020-12-16 19:41:59, 2020-12-16 19:41:59, -53,        4, (not associated) ,fo2-Hotspot,SONOS
66:6A:C4:AD:DA:94, 2020-12-16 19:41:22, 2020-12-16 19:41:22, -79,        2, (not associated) ,
1A:76:15:6B:4C:DF, 2020-12-16 19:41:07, 2020-12-16 19:41:07, -81,        1, (not associated) ,
FF:FF:00:1B:EA:F2, 2020-12-16 19:25:25, 2020-12-16 19:38:20, -76,        3, DD:9F:FF:FF:FF:FF,
7A:AC:85:DB:56:96, 2020-12-16 19:28:06, 2020-12-16 19:28:06, -67,        1, (not associated) ,
3E:E4:EE:96:23:53, 2020-12-16 19:28:06, 2020-12-16 19:28:06, -68,        2, (not associated) ,fo2-Hotspot
82:32:FF:37:F9:B8, 2020-12-16 19:23:22, 2020-12-16 19:23:22, -79,        2, (not associated) ,
0A:E1:27:86:3C:37, 2020-12-16 19:21:07, 2020-12-16 19:21:07, -87,        2, (not associated) ,
C6:58:E6:A0:20:50, 2020-12-16 19:20:58, 2020-12-16 19:20:58, -40,        2, (not associated) ,fo2-Hotspot
32:23:9E:ED:9D:69, 2020-12-16 19:20:58, 2020-12-16 19:20:58, -41,        1, (not associated) ,SONOS
36:11:1E:4F:22:CE, 2020-12-16 19:20:58, 2020-12-16 19:20:58, -41,        8, (not associated) ,fo2-Hotspot
42:6F:28:93:0C:D5, 2020-12-16 19:20:58, 2020-12-16 19:20:58, -42,        2, (not associated) ,SONOS
5E:CA:70:7D:E0:1F, 2020-12-16 19:20:58, 2020-12-16 19:20:58, -44,        2, (not associated) ,SONOS
B6:10:7C:7A:2F:0A, 2020-12-16 19:20:58, 2020-12-16 19:20:58, -44,        4, (not associated) ,fo2-Hotspot
BA:7A:1A:17:97:A3, 2020-12-16 19:17:30, 2020-12-16 19:17:30, -81,        1, (not associated) ,
FC:B7:76:D9:B2:64, 2020-12-16 19:11:34, 2020-12-16 19:11:34, -88,        2, (not associated) ,
FE:15:DF:0B:5B:0B, 2020-12-16 19:11:35, 2020-12-16 19:11:35, -89,        1, (not associated) ,
3E:E5:00:69:FE:5B, 2020-12-16 19:10:45, 2020-12-16 19:10:45, -77,        1, (not associated) ,
8E:17:1E:EF:66:DA, 2020-12-16 19:10:16, 2020-12-16 19:10:16, -35,        2, (not associated) ,
7A:CA:6D:00:D1:D1, 2020-12-16 19:10:16, 2020-12-16 19:10:16, -35,        2, (not associated) ,SONOS
66:B5:75:3C:66:2B, 2020-12-16 19:10:16, 2020-12-16 19:10:16, -36,        2, (not associated) ,fo2-Hotspot
12:B4:A0:0D:11:A5, 2020-12-16 19:11:24, 2020-12-16 19:11:24, -89,        1, (not associated) ,
A2:F8:78:1D:1F:8A, 2020-12-16 19:13:00, 2020-12-16 19:13:00, -81,        1, (not associated) ,
F2:DA:BA:71:BB:6C, 2020-12-16 19:22:02, 2020-12-16 19:22:02, -80,        1, (not associated) ,
01:38:00:72:BD:FC, 2020-12-16 19:22:39, 2020-12-16 19:22:39, -70,        7, (not associated) ,
FF:FF:78:28:CA:C3, 2020-12-16 19:15:37, 2020-12-16 19:24:48, -45,        2, F6:E7:FF:FF:FF:FF,
A6:F9:9F:E4:00:D8, 2020-12-16 19:25:37, 2020-12-16 19:25:37, -83,        2, (not associated) ,
36:74:26:2E:31:74, 2020-12-16 19:27:52, 2020-12-16 19:27:52, -74,        1, (not associated) ,
9C:8D:7C:83:F2:C8, 2020-12-16 19:28:02, 2020-12-16 19:28:02, -84,        5, (not associated) ,
46:CB:1E:41:B3:D3, 2020-12-16 19:40:52, 2020-12-16 19:40:52, -85,        1, (not associated) ,
76:72:C5:90:14:86, 2020-12-16 19:52:52, 2020-12-16 19:52:52, -90,        2, (not associated) ,
