
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
00:25:00:FF:94:73, 2020-12-16 20:21:09, 2020-12-16 20:21:51,  1,  -1, OPN, ,   ,  -1,        0,        4,   0.  0.  0.  0,   0, , 
00:A0:57:3B:59:0E, 2020-12-16 20:20:58, 2020-12-16 20:22:47,  1,  63, WPA2, CCMP, PSK, -59,       73,       62,   0.  0.  0.  0,   6, LANCOM, 
78:28:CA:C3:F7:17, 2020-12-16 20:20:59, 2020-12-16 20:22:48,  6,  -1, WPA, ,   ,  -1,        0,      256,   0.  0.  0.  0,   0, , 
78:28:CA:C3:F6:E7, 2020-12-16 20:21:03, 2020-12-16 20:22:48,  6,  -1, WPA, ,   ,  -1,        0,       21,   0.  0.  0.  0,   0, , 
00:0E:58:12:1C:5B, 2020-12-16 20:21:18, 2020-12-16 20:22:48,  6,  -1, WPA, ,   ,  -1,        0,        8,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
34:E2:FD:90:5B:2F, 2020-12-16 20:21:31, 2020-12-16 20:21:31, -82,        8, (not associated) ,LANCOM
00:5B:94:AA:5E:18, 2020-12-16 20:21:17, 2020-12-16 20:21:17, -96,        1, (not associated) ,LANCOM
36:DC:9C:91:0F:D4, 2020-12-16 20:22:44, 2020-12-16 20:22:44, -89,        1, (not associated) ,
4E:25:81:8D:3B:D7, 2020-12-16 20:21:51, 2020-12-16 20:21:51, -88,        1, (not associated) ,
6A:57:4A:BF:D5:02, 2020-12-16 20:21:49, 2020-12-16 20:21:49, -82,        2, (not associated) ,
C8:69:CD:19:75:2A, 2020-12-16 20:21:43, 2020-12-16 20:22:32, -81,       12, 00:A0:57:3B:59:0E,
A2:53:56:6A:F2:B6, 2020-12-16 20:21:09, 2020-12-16 20:21:51, -80,       17, 00:25:00:FF:94:73,
DC:9B:9C:0B:AD:09, 2020-12-16 20:21:17, 2020-12-16 20:22:36, -76,       39, 00:A0:57:3B:59:0E,LANCOM
20:DF:B9:7E:8D:D9, 2020-12-16 20:21:23, 2020-12-16 20:22:28, -74,       34, (not associated) ,LANCOM
00:0E:58:12:1C:5B, 2020-12-16 20:20:59, 2020-12-16 20:22:48, -64,      307, 78:28:CA:C3:F7:17,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F6:E7, 2020-12-16 20:21:03, 2020-12-16 20:22:48, -46,       30, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
FE:C0:74:73:59:67, 2020-12-16 20:22:39, 2020-12-16 20:22:39, -28,        1, (not associated) ,
A4:CF:12:13:FC:74, 2020-12-16 20:21:35, 2020-12-16 20:22:36,  -1,        8, 00:A0:57:3B:59:0E,
78:28:CA:C3:F7:17, 2020-12-16 20:21:03, 2020-12-16 20:22:48, -44,       38, 00:0E:58:12:1C:5B,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90

