
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
00:0E:58:12:1C:5B, 2020-12-17 08:50:53, 2020-12-17 09:02:49,  6,  -1, WPA, ,   ,  -1,        0,       44,   0.  0.  0.  0,   0, , 
1C:5B:78:28:CA:C3, 2020-12-17 08:54:00, 2020-12-17 08:54:00, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
59:0E:00:A0:57:3B, 2020-12-17 08:56:52, 2020-12-17 08:56:52, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:25:00:FF:94:73, 2020-12-17 08:53:14, 2020-12-17 09:00:41,  1,  -1, OPN, ,   ,  -1,        0,       16,   0.  0.  0.  0,   0, , 
00:A0:57:3B:59:0E, 2020-12-17 08:50:29, 2020-12-17 09:03:11,  1,  63, WPA2, CCMP, PSK, -55,      501,      182,   0.  0.  0.  0,   6, LANCOM, 
78:28:CA:C3:F7:17, 2020-12-17 08:50:30, 2020-12-17 09:03:08,  6,  -1, WPA, ,   ,  -1,        0,     1841,   0.  0.  0.  0,   0, , 
78:28:CA:C3:F6:E7, 2020-12-17 08:50:30, 2020-12-17 09:03:08,  6,  -1, WPA, ,   ,  -1,        0,      159,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
B8:27:EB:B9:E4:8B, 2020-12-17 08:50:44, 2020-12-17 09:00:44, -49,       21, (not associated) ,
A2:53:56:6A:F2:B6, 2020-12-17 08:53:14, 2020-12-17 09:00:41, -74,       62, 00:25:00:FF:94:73,
00:1B:EA:F2:DD:9F, 2020-12-17 08:58:23, 2020-12-17 08:59:53, -68,      641, (not associated) ,LANCOM
81:78:8C:4D:F1:8C, 2020-12-17 08:51:36, 2020-12-17 08:51:36, -95,        1, (not associated) ,
74:C1:4F:4A:68:3A, 2020-12-17 08:51:42, 2020-12-17 08:52:12, -96,        2, (not associated) ,
A4:CF:12:13:FC:74, 2020-12-17 08:50:59, 2020-12-17 08:53:59, -79,       11, 00:A0:57:3B:59:0E,
D8:00:4D:EC:23:2C, 2020-12-17 08:54:37, 2020-12-17 08:54:37, -76,        1, (not associated) ,LANCOM
6E:C1:4F:BB:BD:53, 2020-12-17 08:56:59, 2020-12-17 08:56:59, -56,       15, (not associated) ,SONOS,fo2-Hotspot
8E:E7:31:07:56:38, 2020-12-17 08:56:59, 2020-12-17 08:56:59, -55,        2, (not associated) ,SONOS
72:C6:6B:3F:38:C9, 2020-12-17 08:56:59, 2020-12-17 08:56:59, -47,        4, (not associated) ,fo2-Hotspot,SONOS
C6:D9:65:3D:DA:19, 2020-12-17 08:56:59, 2020-12-17 08:56:59, -47,        3, (not associated) ,SONOS,fo2-Hotspot
36:56:64:1A:18:53, 2020-12-17 08:56:59, 2020-12-17 08:56:59, -43,        1, (not associated) ,fo2-Hotspot
5E:2E:8B:E8:8F:BF, 2020-12-17 09:00:52, 2020-12-17 09:00:52, -72,        2, (not associated) ,fo2-Hotspot
CE:7D:4A:A8:FC:C7, 2020-12-17 09:00:52, 2020-12-17 09:00:52, -72,        1, (not associated) ,SONOS
C2:26:A8:31:49:11, 2020-12-17 09:00:52, 2020-12-17 09:00:52, -71,        3, (not associated) ,
5A:45:D0:F8:F1:4A, 2020-12-17 09:00:52, 2020-12-17 09:00:52, -58,        2, (not associated) ,SONOS
32:69:CE:8A:30:0D, 2020-12-17 09:00:52, 2020-12-17 09:00:52, -57,        2, (not associated) ,fo2-Hotspot
80:C5:F2:C5:67:CD, 2020-12-17 08:58:40, 2020-12-17 09:00:52, -49,        5, 00:A0:57:3B:59:0E,
B6:7F:18:15:FC:DE, 2020-12-17 09:01:19, 2020-12-17 09:01:39, -66,        3, (not associated) ,
40:90:20:1A:C0:2C, 2020-12-17 09:01:47, 2020-12-17 09:01:47, -93,        2, (not associated) ,
B6:69:9D:77:E4:0C, 2020-12-17 09:02:36, 2020-12-17 09:02:36, -90,        2, (not associated) ,
00:5B:94:AA:5E:18, 2020-12-17 08:51:18, 2020-12-17 09:02:33, -88,       35, (not associated) ,LANCOM
C8:69:CD:19:75:2A, 2020-12-17 08:51:10, 2020-12-17 09:02:44, -80,      103, 00:A0:57:3B:59:0E,
DC:9B:9C:0B:AD:09, 2020-12-17 08:51:12, 2020-12-17 09:02:26, -79,       15, 00:A0:57:3B:59:0E,LANCOM
34:E2:FD:90:5B:2F, 2020-12-17 08:52:41, 2020-12-17 09:03:03, -75,       21, 00:A0:57:3B:59:0E,LANCOM
20:DF:B9:7E:8D:D9, 2020-12-17 08:50:44, 2020-12-17 09:02:29, -69,      258, (not associated) ,LANCOM
00:0E:58:12:1C:5B, 2020-12-17 08:50:30, 2020-12-17 09:03:08, -65,     2205, 78:28:CA:C3:F7:17,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F6:E7, 2020-12-17 08:50:34, 2020-12-17 09:03:08, -44,      207, 00:0E:58:12:1C:5B,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F7:17, 2020-12-17 08:50:34, 2020-12-17 09:03:08, -41,      245, 00:0E:58:12:1C:5B,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
FE:C0:74:73:59:67, 2020-12-17 08:52:41, 2020-12-17 09:02:27, -36,       10, (not associated) ,

