
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
59:0E:05:00:60:CD, 2020-12-18 16:25:04, 2020-12-18 16:25:04, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
FF:FF:38:EA:A7:C8, 2020-12-18 12:04:29, 2020-12-18 16:07:47,  1,  -1, OPN, ,   , -71,        0,        4,   0.  0.  0.  0,   0, , 
1C:5B:78:28:CA:C3, 2020-12-18 15:48:37, 2020-12-18 15:48:37, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
8D:D9:FF:FF:FF:FF, 2020-12-18 12:20:10, 2020-12-18 15:45:13, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
1C:5B:FF:FF:FF:FF, 2020-12-18 12:01:11, 2020-12-18 15:40:10, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
DD:9F:FF:FF:FF:FF, 2020-12-18 13:39:04, 2020-12-18 14:59:08, -1,  -1, OPN, ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:9D:6B:30:F9:E5, 2020-12-18 14:47:02, 2020-12-18 14:47:02,  6,  54, WPA2, CCMP, PSK, -91,        1,        0,   0.  0.  0.  0,  13, Audi_MMI_4918, 
CC:79:CF:FB:9A:13, 2020-12-18 13:27:23, 2020-12-18 14:13:54, 10,  54, WPA2 WPA, CCMP, PSK, -89,        5,        0,   0.  0.  0.  0,  14, 168CarDVR-9a13, 
00:54:AF:24:EF:0A, 2020-12-18 11:48:57, 2020-12-18 11:49:02, 11,  54, WPA2 WPA, CCMP TKIP, PSK, -91,        7,        0,   0.  0.  0.  0,  11, HotspotEF0A, 
08:96:D7:C9:33:2C, 2020-12-18 12:07:55, 2020-12-18 12:07:55,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
F6:E7:FF:FF:FF:FF, 2020-12-18 12:26:04, 2020-12-18 12:26:04, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
59:0E:00:A0:57:3B, 2020-12-18 13:29:20, 2020-12-18 13:29:20, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
32:C3:D9:34:10:F9, 2020-12-18 16:01:20, 2020-12-18 16:01:20,  1,  54, WPA2, CCMP, PSK, -92,        1,        0,   0.  0.  0.  0,   7, VW WLAN, 
4A:EB:62:A5:6C:25, 2020-12-18 16:03:53, 2020-12-18 16:03:53,  6,  54, WPA2, CCMP, PSK, -92,        1,        0,   0.  0.  0.  0,  10, My VW 8851, 
00:25:00:FF:94:73, 2020-12-18 11:44:39, 2020-12-18 16:28:53,  1,  -1, OPN, ,   ,  -1,        0,      367,   0.  0.  0.  0,   0, , 
38:EA:A7:C8:D8:97, 2020-12-18 11:44:10, 2020-12-18 16:29:20,  1,  54, OPN, ,   , -68,    25239,        0,   0.  0.  0.  0,  27, HP-Print-97-Photosmart 5520, 
00:A0:57:3B:59:0E, 2020-12-18 11:44:10, 2020-12-18 16:29:19,  1,  63, WPA2, CCMP, PSK, -61,    10365,     5283,   0.  0.  0.  0,   6, LANCOM, 
00:0E:58:12:1C:5B, 2020-12-18 11:44:22, 2020-12-18 16:29:08,  6,  -1, WPA, ,   ,  -1,        0,     1327,   0.  0.  0.  0,   0, , 
78:28:CA:C3:F7:17, 2020-12-18 11:44:15, 2020-12-18 16:29:14,  6,  -1, WPA, ,   ,  -1,        0,     5219,   0.  0.  0.  0,   0, , 
78:28:CA:C3:F6:E7, 2020-12-18 11:44:15, 2020-12-18 16:29:14,  6,  -1, WPA, ,   ,  -1,        0,     4754,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:5B:94:AA:5E:18, 2020-12-18 11:46:58, 2020-12-18 16:28:16, -87,      560, 00:A0:57:3B:59:0E,LANCOM
34:E2:FD:90:5B:2F, 2020-12-18 11:44:23, 2020-12-18 16:27:13, -72,      637, 00:A0:57:3B:59:0E,LANCOM
80:C5:F2:C5:67:CD, 2020-12-18 11:46:02, 2020-12-18 16:26:48, -47,      101, 00:A0:57:3B:59:0E,
64:70:33:E4:0E:94, 2020-12-18 11:56:33, 2020-12-18 16:26:46, -86,      408, 00:A0:57:3B:59:0E,LANCOM
C8:69:CD:19:75:2A, 2020-12-18 11:46:58, 2020-12-18 16:25:29, -83,      929, 00:A0:57:3B:59:0E,
24:EC:99:28:A8:F5, 2020-12-18 15:07:56, 2020-12-18 16:19:09, -88,        2, (not associated) ,
25:D0:1E:82:C6:E2, 2020-12-18 16:18:20, 2020-12-18 16:18:20, -88,        2, (not associated) ,
52:30:68:5A:D7:01, 2020-12-18 16:09:36, 2020-12-18 16:09:36, -75,        2, (not associated) ,
00:00:FF:FF:FF:FF, 2020-12-18 12:04:29, 2020-12-18 16:07:47,  -1,        4, FF:FF:38:EA:A7:C8,
82:F5:40:78:2A:9B, 2020-12-18 16:04:58, 2020-12-18 16:04:58, -90,        1, (not associated) ,
20:43:DA:DB:35:3C, 2020-12-18 16:04:20, 2020-12-18 16:04:20, -87,        2, (not associated) ,
30:C9:31:E2:23:4D, 2020-12-18 16:02:57, 2020-12-18 16:02:57, -82,        2, (not associated) ,
C6:93:B4:85:ED:FF, 2020-12-18 16:01:09, 2020-12-18 16:01:09, -87,        2, (not associated) ,
C3:2C:EB:F9:73:E5, 2020-12-18 15:56:51, 2020-12-18 15:56:51, -79,        2, (not associated) ,
B2:0E:6F:D4:0C:2F, 2020-12-18 15:37:44, 2020-12-18 15:55:36, -82,       29, 00:25:00:FF:94:73,
3B:C5:D5:EF:92:1B, 2020-12-18 15:54:24, 2020-12-18 15:54:24, -88,        1, (not associated) ,
D6:33:A9:D7:E9:D7, 2020-12-18 13:48:07, 2020-12-18 15:54:15, -84,      168, 00:25:00:FF:94:73,
49:83:52:D9:88:8E, 2020-12-18 15:53:38, 2020-12-18 15:53:38, -78,        2, (not associated) ,
A4:22:60:B3:65:1A, 2020-12-18 15:51:36, 2020-12-18 15:51:36, -73,        2, (not associated) ,
D6:08:04:BC:00:D9, 2020-12-18 15:46:32, 2020-12-18 15:46:32, -76,        2, (not associated) ,
16:A9:D3:E9:7E:95, 2020-12-18 15:43:25, 2020-12-18 15:43:25, -85,        2, (not associated) ,
B7:49:D2:76:4C:D8, 2020-12-18 15:31:43, 2020-12-18 15:31:43, -83,        2, (not associated) ,
25:D1:8C:97:59:3E, 2020-12-18 15:30:37, 2020-12-18 15:30:37, -81,        2, (not associated) ,
2D:FA:A1:D5:A8:7F, 2020-12-18 15:27:08, 2020-12-18 15:27:08, -83,        1, (not associated) ,
8F:AF:6F:BA:B4:2B, 2020-12-18 15:23:24, 2020-12-18 15:23:24, -91,        2, (not associated) ,
C5:82:68:88:66:D6, 2020-12-18 15:21:09, 2020-12-18 15:21:09, -78,        1, (not associated) ,
E4:70:B8:D6:D5:B7, 2020-12-18 12:41:15, 2020-12-18 15:19:53, -36,       69, (not associated) ,LANCOM
55:97:30:5E:9C:A4, 2020-12-18 15:13:29, 2020-12-18 15:13:29, -89,        1, (not associated) ,
CF:26:61:59:2C:B1, 2020-12-18 15:10:20, 2020-12-18 15:10:20, -89,        2, (not associated) ,
00:0C:E7:B9:74:39, 2020-12-18 15:05:27, 2020-12-18 15:05:27, -91,        1, (not associated) ,
3C:F7:A4:D3:43:C5, 2020-12-18 14:58:00, 2020-12-18 14:58:00, -86,        2, (not associated) ,
D6:76:1A:5A:A7:54, 2020-12-18 14:53:30, 2020-12-18 14:53:30, -84,        7, 00:25:00:FF:94:73,
